# Frozen ngspice 45.2 .op at T=TNOM=28.555 °C (Vt≈26 mV), GMIN=1e-12.
# Same educational models as Daedalus (D: IS=1e-14 N=1; Q: IS=1e-15 BF=100 BR=1).
# deck          key     expected        abs_tol
diode-bias      v(1)    7.000000e-01    1e-9
diode-bias      i(vin)  -4.93209e-03    5e-5
diode-series    v(1)    5.000000e+00    1e-9
diode-series    v(2)    6.964593e-01    2e-3
diode-series    i(vin)  -4.30354e-03    5e-5
rectifier       v(1)    5.000000e+00    1e-9
rectifier       v(2)    4.303541e+00    2e-3
rectifier       i(vin)  -4.30354e-03    5e-5
bjt-ce          v(1)    5.000000e+00    1e-9
bjt-ce          v(2)    2.700149e+00    5e-3
bjt-ce          v(3)    7.400299e-01    5e-3
bjt-ce          v(4)    1.200000e+00    1e-9
bjt-ce          i(vcc)  -2.29985e-03    5e-5
bjt-ce          i(vin)  -2.29985e-05    1e-6
